evento_id,data,contexto,uf,ano,turno,vencedor,partido,incumbente,poll_lead_pp,outcome_real,probabilidade_prior,outcome_framing
ar2023_2023-11-19_generalelectio_milei,2023-11-19,"Javier Milei (LLA) vs Sergio Massa (UP) runoff in Argentina (General elections, 2023-11-19)",AR,2023,2,Javier Milei,LLA,0,11.4,1,0.643,"Javier Milei (LLA) vs Sergio Massa (UP) runoff in Argentina (General elections, 2023-11-19)"
ar2023_2023-11-19_generalelectio_massa,2023-11-19,"Sergio Massa (UP) vs Javier Milei (LLA) runoff in Argentina (General elections, 2023-11-19)",AR,2023,2,Javier Milei,UP,1,-11.4,0,0.357,"Sergio Massa (UP) vs Javier Milei (LLA) runoff in Argentina (General elections, 2023-11-19)"
ar2023_2023-11-05_atlasintel_milei,2023-11-05,"Javier Milei (LLA) vs Sergio Massa (UP) runoff in Argentina (AtlasIntel, 2023-11-05)",AR,2023,2,Javier Milei,LLA,0,4.0,1,0.55,"Javier Milei (LLA) vs Sergio Massa (UP) runoff in Argentina (AtlasIntel, 2023-11-05)"
ar2023_2023-11-05_atlasintel_massa,2023-11-05,"Sergio Massa (UP) vs Javier Milei (LLA) runoff in Argentina (AtlasIntel, 2023-11-05)",AR,2023,2,Javier Milei,UP,1,-4.0,0,0.45,"Sergio Massa (UP) vs Javier Milei (LLA) runoff in Argentina (AtlasIntel, 2023-11-05)"
ar2023_2023-11-08_celag_milei,2023-11-08,"Javier Milei (LLA) vs Sergio Massa (UP) runoff in Argentina (CELAG, 2023-11-08)",AR,2023,2,Javier Milei,LLA,0,-1.6,1,0.48,"Javier Milei (LLA) vs Sergio Massa (UP) runoff in Argentina (CELAG, 2023-11-08)"
ar2023_2023-11-08_celag_massa,2023-11-08,"Sergio Massa (UP) vs Javier Milei (LLA) runoff in Argentina (CELAG, 2023-11-08)",AR,2023,2,Javier Milei,UP,1,1.6,0,0.52,"Sergio Massa (UP) vs Javier Milei (LLA) runoff in Argentina (CELAG, 2023-11-08)"
ar2023_2023-11-01_cbconsultora_milei,2023-11-01,"Javier Milei (LLA) vs Sergio Massa (UP) runoff in Argentina (CB Consultora, 2023-11-01)",AR,2023,2,Javier Milei,LLA,0,3.2,1,0.54,"Javier Milei (LLA) vs Sergio Massa (UP) runoff in Argentina (CB Consultora, 2023-11-01)"
ar2023_2023-11-01_cbconsultora_massa,2023-11-01,"Sergio Massa (UP) vs Javier Milei (LLA) runoff in Argentina (CB Consultora, 2023-11-01)",AR,2023,2,Javier Milei,UP,1,-3.2,0,0.46,"Sergio Massa (UP) vs Javier Milei (LLA) runoff in Argentina (CB Consultora, 2023-11-01)"
ar2023_2023-11-01_proyeccinconsu_milei,2023-11-01,"Javier Milei (LLA) vs Sergio Massa (UP) runoff in Argentina (Proyección Consultores, 2023-11-01)",AR,2023,2,Javier Milei,LLA,0,2.0,1,0.525,"Javier Milei (LLA) vs Sergio Massa (UP) runoff in Argentina (Proyección Consultores, 2023-11-01)"
ar2023_2023-11-01_proyeccinconsu_massa,2023-11-01,"Sergio Massa (UP) vs Javier Milei (LLA) runoff in Argentina (Proyección Consultores, 2023-11-01)",AR,2023,2,Javier Milei,UP,1,-2.0,0,0.475,"Sergio Massa (UP) vs Javier Milei (LLA) runoff in Argentina (Proyección Consultores, 2023-11-01)"
ar2023_2023-11-01_atlasintel_milei,2023-11-01,"Javier Milei (LLA) vs Sergio Massa (UP) runoff in Argentina (AtlasIntel, 2023-11-01)",AR,2023,2,Javier Milei,LLA,0,4.0,1,0.55,"Javier Milei (LLA) vs Sergio Massa (UP) runoff in Argentina (AtlasIntel, 2023-11-01)"
ar2023_2023-11-01_atlasintel_massa,2023-11-01,"Sergio Massa (UP) vs Javier Milei (LLA) runoff in Argentina (AtlasIntel, 2023-11-01)",AR,2023,2,Javier Milei,UP,1,-4.0,0,0.45,"Sergio Massa (UP) vs Javier Milei (LLA) runoff in Argentina (AtlasIntel, 2023-11-01)"
ar2023_2023-11-01_cigp_milei,2023-11-01,"Javier Milei (LLA) vs Sergio Massa (UP) runoff in Argentina (CIGP, 2023-11-01)",AR,2023,2,Javier Milei,LLA,0,2.0,1,0.525,"Javier Milei (LLA) vs Sergio Massa (UP) runoff in Argentina (CIGP, 2023-11-01)"
ar2023_2023-11-01_cigp_massa,2023-11-01,"Sergio Massa (UP) vs Javier Milei (LLA) runoff in Argentina (CIGP, 2023-11-01)",AR,2023,2,Javier Milei,UP,1,-2.0,0,0.475,"Sergio Massa (UP) vs Javier Milei (LLA) runoff in Argentina (CIGP, 2023-11-01)"
ar2023_2023-11-01_analogias_milei,2023-11-01,"Javier Milei (LLA) vs Sergio Massa (UP) runoff in Argentina (Analogias, 2023-11-01)",AR,2023,2,Javier Milei,LLA,0,-2.7,1,0.466,"Javier Milei (LLA) vs Sergio Massa (UP) runoff in Argentina (Analogias, 2023-11-01)"
ar2023_2023-11-01_analogias_massa,2023-11-01,"Sergio Massa (UP) vs Javier Milei (LLA) runoff in Argentina (Analogias, 2023-11-01)",AR,2023,2,Javier Milei,UP,1,2.7,0,0.534,"Sergio Massa (UP) vs Javier Milei (LLA) runoff in Argentina (Analogias, 2023-11-01)"
ar2023_2023-11-01_atlasintel_milei,2023-11-01,"Javier Milei (LLA) vs Sergio Massa (UP) runoff in Argentina (Atlas Intel, 2023-11-01)",AR,2023,2,Javier Milei,LLA,0,3.8,1,0.547,"Javier Milei (LLA) vs Sergio Massa (UP) runoff in Argentina (Atlas Intel, 2023-11-01)"
ar2023_2023-11-01_atlasintel_massa,2023-11-01,"Sergio Massa (UP) vs Javier Milei (LLA) runoff in Argentina (Atlas Intel, 2023-11-01)",AR,2023,2,Javier Milei,UP,1,-3.8,0,0.453,"Sergio Massa (UP) vs Javier Milei (LLA) runoff in Argentina (Atlas Intel, 2023-11-01)"
ar2023_2023-10-28_zubancordoba_milei,2023-10-28,"Javier Milei (LLA) vs Sergio Massa (UP) runoff in Argentina (Zuban Cordoba, 2023-10-28)",AR,2023,2,Javier Milei,LLA,0,-2.3,1,0.471,"Javier Milei (LLA) vs Sergio Massa (UP) runoff in Argentina (Zuban Cordoba, 2023-10-28)"
ar2023_2023-10-28_zubancordoba_massa,2023-10-28,"Sergio Massa (UP) vs Javier Milei (LLA) runoff in Argentina (Zuban Cordoba, 2023-10-28)",AR,2023,2,Javier Milei,UP,1,2.3,0,0.529,"Sergio Massa (UP) vs Javier Milei (LLA) runoff in Argentina (Zuban Cordoba, 2023-10-28)"
