evento_id,data,contexto,uf,ano,turno,vencedor,partido,incumbente,poll_lead_pp,outcome_real,probabilidade_prior,outcome_framing
br2014_2014-10-25_voxpopuli_dilma,2014-10-25,"Dilma Rousseff (PT) vs Aecio Neves (PSDB) runoff Brasil 2014 (Vox Populi, 2014-10-25)",BR,2014,2,Dilma Rousseff,PT,1,7.0,1,0.588,"Dilma Rousseff (PT) vs Aecio Neves (PSDB) runoff Brasil 2014 (Vox Populi, 2014-10-25)"
br2014_2014-10-25_voxpopuli_aecio,2014-10-25,"Aecio Neves (PSDB) vs Dilma Rousseff (PT) runoff Brasil 2014 (Vox Populi, 2014-10-25)",BR,2014,2,Dilma Rousseff,PSDB,0,-7.0,0,0.412,"Aecio Neves (PSDB) vs Dilma Rousseff (PT) runoff Brasil 2014 (Vox Populi, 2014-10-25)"
br2014_2014-10-24_datafolha_dilma,2014-10-24,"Dilma Rousseff (PT) vs Aecio Neves (PSDB) runoff Brasil 2014 (Datafolha, 2014-10-24)",BR,2014,2,Dilma Rousseff,PT,1,4.0,1,0.55,"Dilma Rousseff (PT) vs Aecio Neves (PSDB) runoff Brasil 2014 (Datafolha, 2014-10-24)"
br2014_2014-10-24_datafolha_aecio,2014-10-24,"Aecio Neves (PSDB) vs Dilma Rousseff (PT) runoff Brasil 2014 (Datafolha, 2014-10-24)",BR,2014,2,Dilma Rousseff,PSDB,0,-4.0,0,0.45,"Aecio Neves (PSDB) vs Dilma Rousseff (PT) runoff Brasil 2014 (Datafolha, 2014-10-24)"
br2014_2014-10-24_ibope_dilma,2014-10-24,"Dilma Rousseff (PT) vs Aecio Neves (PSDB) runoff Brasil 2014 (Ibope, 2014-10-24)",BR,2014,2,Dilma Rousseff,PT,1,6.0,1,0.575,"Dilma Rousseff (PT) vs Aecio Neves (PSDB) runoff Brasil 2014 (Ibope, 2014-10-24)"
br2014_2014-10-24_ibope_aecio,2014-10-24,"Aecio Neves (PSDB) vs Dilma Rousseff (PT) runoff Brasil 2014 (Ibope, 2014-10-24)",BR,2014,2,Dilma Rousseff,PSDB,0,-6.0,0,0.425,"Aecio Neves (PSDB) vs Dilma Rousseff (PT) runoff Brasil 2014 (Ibope, 2014-10-24)"
br2014_2014-10-23_cntmda_dilma,2014-10-23,"Dilma Rousseff (PT) vs Aecio Neves (PSDB) runoff Brasil 2014 (CNT/MDA, 2014-10-23)",BR,2014,2,Dilma Rousseff,PT,1,-0.6,1,0.493,"Dilma Rousseff (PT) vs Aecio Neves (PSDB) runoff Brasil 2014 (CNT/MDA, 2014-10-23)"
br2014_2014-10-23_cntmda_aecio,2014-10-23,"Aecio Neves (PSDB) vs Dilma Rousseff (PT) runoff Brasil 2014 (CNT/MDA, 2014-10-23)",BR,2014,2,Dilma Rousseff,PSDB,0,0.6,0,0.507,"Aecio Neves (PSDB) vs Dilma Rousseff (PT) runoff Brasil 2014 (CNT/MDA, 2014-10-23)"
br2014_2014-10-22_datafolha_dilma,2014-10-22,"Dilma Rousseff (PT) vs Aecio Neves (PSDB) runoff Brasil 2014 (Datafolha, 2014-10-22)",BR,2014,2,Dilma Rousseff,PT,1,6.0,1,0.575,"Dilma Rousseff (PT) vs Aecio Neves (PSDB) runoff Brasil 2014 (Datafolha, 2014-10-22)"
br2014_2014-10-22_datafolha_aecio,2014-10-22,"Aecio Neves (PSDB) vs Dilma Rousseff (PT) runoff Brasil 2014 (Datafolha, 2014-10-22)",BR,2014,2,Dilma Rousseff,PSDB,0,-6.0,0,0.425,"Aecio Neves (PSDB) vs Dilma Rousseff (PT) runoff Brasil 2014 (Datafolha, 2014-10-22)"
br2014_2014-10-20_ibope_dilma,2014-10-20,"Dilma Rousseff (PT) vs Aecio Neves (PSDB) runoff Brasil 2014 (Ibope, 2014-10-20)",BR,2014,2,Dilma Rousseff,PT,1,8.0,1,0.6,"Dilma Rousseff (PT) vs Aecio Neves (PSDB) runoff Brasil 2014 (Ibope, 2014-10-20)"
br2014_2014-10-20_ibope_aecio,2014-10-20,"Aecio Neves (PSDB) vs Dilma Rousseff (PT) runoff Brasil 2014 (Ibope, 2014-10-20)",BR,2014,2,Dilma Rousseff,PSDB,0,-8.0,0,0.4,"Aecio Neves (PSDB) vs Dilma Rousseff (PT) runoff Brasil 2014 (Ibope, 2014-10-20)"
