evento_id,data,contexto,uf,ano,turno,vencedor,partido,incumbente,poll_lead_pp,outcome_real,probabilidade_prior,outcome_framing
de2021_2021-09-24_wahlkreisprogn_w,2021-09-24,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (Wahlkreisprognose, 2021-09-24)",DE,2021,1,Olaf Scholz,SPD,1,3.0,1,0.537,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (Wahlkreisprognose, 2021-09-24)"
de2021_2021-09-24_wahlkreisprogn_l,2021-09-24,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (Wahlkreisprognose, 2021-09-24)",DE,2021,1,Olaf Scholz,CDU/CSU,1,-3.0,0,0.463,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (Wahlkreisprognose, 2021-09-24)"
de2021_2021-09-23_ipsos_w,2021-09-23,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (Ipsos, 2021-09-23)",DE,2021,1,Olaf Scholz,SPD,1,4.0,1,0.55,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (Ipsos, 2021-09-23)"
de2021_2021-09-23_ipsos_l,2021-09-23,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (Ipsos, 2021-09-23)",DE,2021,1,Olaf Scholz,CDU/CSU,1,-4.0,0,0.45,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (Ipsos, 2021-09-23)"
de2021_2021-09-23_forschungsgrup_w,2021-09-23,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (Forschungsgruppe Wahlen, 2021-09-23)",DE,2021,1,Olaf Scholz,SPD,1,2.0,1,0.525,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (Forschungsgruppe Wahlen, 2021-09-23)"
de2021_2021-09-23_forschungsgrup_l,2021-09-23,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (Forschungsgruppe Wahlen, 2021-09-23)",DE,2021,1,Olaf Scholz,CDU/CSU,1,-2.0,0,0.475,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (Forschungsgruppe Wahlen, 2021-09-23)"
de2021_2021-09-23_forsa_w,2021-09-23,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (Forsa, 2021-09-23)",DE,2021,1,Olaf Scholz,SPD,1,3.0,1,0.537,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (Forsa, 2021-09-23)"
de2021_2021-09-23_forsa_l,2021-09-23,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (Forsa, 2021-09-23)",DE,2021,1,Olaf Scholz,CDU/CSU,1,-3.0,0,0.463,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (Forsa, 2021-09-23)"
de2021_2021-09-23_allensbach_w,2021-09-23,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (Allensbach, 2021-09-23)",DE,2021,1,Olaf Scholz,SPD,1,1.0,1,0.512,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (Allensbach, 2021-09-23)"
de2021_2021-09-23_allensbach_l,2021-09-23,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (Allensbach, 2021-09-23)",DE,2021,1,Olaf Scholz,CDU/CSU,1,-1.0,0,0.487,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (Allensbach, 2021-09-23)"
de2021_2021-09-23_civey_w,2021-09-23,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (Civey, 2021-09-23)",DE,2021,1,Olaf Scholz,SPD,1,2.0,1,0.525,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (Civey, 2021-09-23)"
de2021_2021-09-23_civey_l,2021-09-23,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (Civey, 2021-09-23)",DE,2021,1,Olaf Scholz,CDU/CSU,1,-2.0,0,0.475,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (Civey, 2021-09-23)"
de2021_2021-09-22_yougov_w,2021-09-22,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (YouGov, 2021-09-22)",DE,2021,1,Olaf Scholz,SPD,1,4.0,1,0.55,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (YouGov, 2021-09-22)"
de2021_2021-09-22_yougov_l,2021-09-22,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (YouGov, 2021-09-22)",DE,2021,1,Olaf Scholz,CDU/CSU,1,-4.0,0,0.45,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (YouGov, 2021-09-22)"
de2021_2021-09-21_wahlkreisprogn_w,2021-09-21,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (Wahlkreisprognose, 2021-09-21)",DE,2021,1,Olaf Scholz,SPD,1,3.5,1,0.544,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (Wahlkreisprognose, 2021-09-21)"
de2021_2021-09-21_wahlkreisprogn_l,2021-09-21,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (Wahlkreisprognose, 2021-09-21)",DE,2021,1,Olaf Scholz,CDU/CSU,1,-3.5,0,0.456,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (Wahlkreisprognose, 2021-09-21)"
de2021_2021-09-21_kantar_w,2021-09-21,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (Kantar, 2021-09-21)",DE,2021,1,Olaf Scholz,SPD,1,4.0,1,0.55,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (Kantar, 2021-09-21)"
de2021_2021-09-21_kantar_l,2021-09-21,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (Kantar, 2021-09-21)",DE,2021,1,Olaf Scholz,CDU/CSU,1,-4.0,0,0.45,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (Kantar, 2021-09-21)"
de2021_2021-09-20_insa_w,2021-09-20,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (INSA, 2021-09-20)",DE,2021,1,Olaf Scholz,SPD,1,3.0,1,0.537,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (INSA, 2021-09-20)"
de2021_2021-09-20_insa_l,2021-09-20,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (INSA, 2021-09-20)",DE,2021,1,Olaf Scholz,CDU/CSU,1,-3.0,0,0.463,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (INSA, 2021-09-20)"
de2021_2021-09-20_forsa_w,2021-09-20,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (Forsa, 2021-09-20)",DE,2021,1,Olaf Scholz,SPD,1,3.0,1,0.537,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (Forsa, 2021-09-20)"
de2021_2021-09-20_forsa_l,2021-09-20,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (Forsa, 2021-09-20)",DE,2021,1,Olaf Scholz,CDU/CSU,1,-3.0,0,0.463,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (Forsa, 2021-09-20)"
de2021_2021-09-17_insa_w,2021-09-17,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (INSA, 2021-09-17)",DE,2021,1,Olaf Scholz,SPD,1,5.0,1,0.562,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (INSA, 2021-09-17)"
de2021_2021-09-17_insa_l,2021-09-17,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (INSA, 2021-09-17)",DE,2021,1,Olaf Scholz,CDU/CSU,1,-5.0,0,0.438,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (INSA, 2021-09-17)"
de2021_2021-09-16_ipsos_w,2021-09-16,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (Ipsos, 2021-09-16)",DE,2021,1,Olaf Scholz,SPD,1,6.0,1,0.575,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (Ipsos, 2021-09-16)"
de2021_2021-09-16_ipsos_l,2021-09-16,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (Ipsos, 2021-09-16)",DE,2021,1,Olaf Scholz,CDU/CSU,1,-6.0,0,0.425,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (Ipsos, 2021-09-16)"
de2021_2021-09-16_forschungsgrup_w,2021-09-16,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (Forschungsgruppe Wahlen, 2021-09-16)",DE,2021,1,Olaf Scholz,SPD,1,3.0,1,0.537,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (Forschungsgruppe Wahlen, 2021-09-16)"
de2021_2021-09-16_forschungsgrup_l,2021-09-16,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (Forschungsgruppe Wahlen, 2021-09-16)",DE,2021,1,Olaf Scholz,CDU/CSU,1,-3.0,0,0.463,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (Forschungsgruppe Wahlen, 2021-09-16)"
de2021_2021-09-16_trendresearch_w,2021-09-16,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (Trend Research, 2021-09-16)",DE,2021,1,Olaf Scholz,SPD,1,5.0,1,0.562,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (Trend Research, 2021-09-16)"
de2021_2021-09-16_trendresearch_l,2021-09-16,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (Trend Research, 2021-09-16)",DE,2021,1,Olaf Scholz,CDU/CSU,1,-5.0,0,0.438,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (Trend Research, 2021-09-16)"
de2021_2021-09-15_infratestdimap_w,2021-09-15,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (Infratest dimap, 2021-09-15)",DE,2021,1,Olaf Scholz,SPD,1,4.0,1,0.55,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (Infratest dimap, 2021-09-15)"
de2021_2021-09-15_infratestdimap_l,2021-09-15,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (Infratest dimap, 2021-09-15)",DE,2021,1,Olaf Scholz,CDU/CSU,1,-4.0,0,0.45,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (Infratest dimap, 2021-09-15)"
de2021_2021-09-15_wahlkreisprogn_w,2021-09-15,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (Wahlkreisprognose, 2021-09-15)",DE,2021,1,Olaf Scholz,SPD,1,7.0,1,0.588,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (Wahlkreisprognose, 2021-09-15)"
de2021_2021-09-15_wahlkreisprogn_l,2021-09-15,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (Wahlkreisprognose, 2021-09-15)",DE,2021,1,Olaf Scholz,CDU/CSU,1,-7.0,0,0.412,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (Wahlkreisprognose, 2021-09-15)"
de2021_2021-09-15_civey_w,2021-09-15,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (Civey, 2021-09-15)",DE,2021,1,Olaf Scholz,SPD,1,2.0,1,0.525,"Olaf Scholz (SPD) vs Armin Laschet (CDU/CSU) in 2021 German federal election (Civey, 2021-09-15)"
de2021_2021-09-15_civey_l,2021-09-15,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (Civey, 2021-09-15)",DE,2021,1,Olaf Scholz,CDU/CSU,1,-2.0,0,0.475,"Armin Laschet (CDU/CSU) vs Olaf Scholz (SPD) in 2021 German federal election (Civey, 2021-09-15)"
