evento_id,data,contexto,uf,ano,turno,vencedor,partido,incumbente,poll_lead_pp,outcome_real,probabilidade_prior,outcome_framing
fr2022_2022-04-22_ipsos_macron,2022-04-22,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (Ipsos, 2022-04-22)",FR,2022,2,Emmanuel Macron,LREM,1,13.0,1,0.662,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (Ipsos, 2022-04-22)"
fr2022_2022-04-22_ipsos_lepen,2022-04-22,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (Ipsos, 2022-04-22)",FR,2022,2,Emmanuel Macron,RN,0,-13.0,0,0.338,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (Ipsos, 2022-04-22)"
fr2022_2022-04-21_cluster17_macron,2022-04-21,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (Cluster17, 2022-04-21)",FR,2022,2,Emmanuel Macron,LREM,1,12.0,1,0.65,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (Cluster17, 2022-04-21)"
fr2022_2022-04-21_cluster17_lepen,2022-04-21,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (Cluster17, 2022-04-21)",FR,2022,2,Emmanuel Macron,RN,0,-12.0,0,0.35,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (Cluster17, 2022-04-21)"
fr2022_2022-04-21_elabe_macron,2022-04-21,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (Elabe, 2022-04-21)",FR,2022,2,Emmanuel Macron,LREM,1,11.0,1,0.637,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (Elabe, 2022-04-21)"
fr2022_2022-04-21_elabe_lepen,2022-04-21,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (Elabe, 2022-04-21)",FR,2022,2,Emmanuel Macron,RN,0,-11.0,0,0.362,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (Elabe, 2022-04-21)"
fr2022_2022-04-21_harrisinteract_macron,2022-04-21,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (Harris-Interactive, 2022-04-21)",FR,2022,2,Emmanuel Macron,LREM,1,10.0,1,0.625,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (Harris-Interactive, 2022-04-21)"
fr2022_2022-04-21_harrisinteract_lepen,2022-04-21,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (Harris-Interactive, 2022-04-21)",FR,2022,2,Emmanuel Macron,RN,0,-10.0,0,0.375,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (Harris-Interactive, 2022-04-21)"
fr2022_2022-04-21_ipsossopraster_macron,2022-04-21,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (Ipsos-Sopra Steria, 2022-04-21)",FR,2022,2,Emmanuel Macron,LREM,1,14.0,1,0.675,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (Ipsos-Sopra Steria, 2022-04-21)"
fr2022_2022-04-21_ipsossopraster_lepen,2022-04-21,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (Ipsos-Sopra Steria, 2022-04-21)",FR,2022,2,Emmanuel Macron,RN,0,-14.0,0,0.325,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (Ipsos-Sopra Steria, 2022-04-21)"
fr2022_2022-04-20_opinionwayka_macron,2022-04-20,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (OpinionWay-Kéa, 2022-04-20)",FR,2022,2,Emmanuel Macron,LREM,1,14.0,1,0.675,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (OpinionWay-Kéa, 2022-04-20)"
fr2022_2022-04-20_opinionwayka_lepen,2022-04-20,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (OpinionWay-Kéa, 2022-04-20)",FR,2022,2,Emmanuel Macron,RN,0,-14.0,0,0.325,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (OpinionWay-Kéa, 2022-04-20)"
fr2022_2022-04-18_ifopfiducial_macron,2022-04-18,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (Ifop-Fiducial, 2022-04-18)",FR,2022,2,Emmanuel Macron,LREM,1,10.0,1,0.625,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (Ifop-Fiducial, 2022-04-18)"
fr2022_2022-04-18_ifopfiducial_lepen,2022-04-18,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (Ifop-Fiducial, 2022-04-18)",FR,2022,2,Emmanuel Macron,RN,0,-10.0,0,0.375,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (Ifop-Fiducial, 2022-04-18)"
fr2022_2022-04-21_bva_macron,2022-04-21,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (BVA, 2022-04-21)",FR,2022,2,Emmanuel Macron,LREM,1,11.0,1,0.637,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (BVA, 2022-04-21)"
fr2022_2022-04-21_bva_lepen,2022-04-21,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (BVA, 2022-04-21)",FR,2022,2,Emmanuel Macron,RN,0,-11.0,0,0.362,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (BVA, 2022-04-21)"
fr2022_2022-04-20_odoxa_macron,2022-04-20,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (Odoxa, 2022-04-20)",FR,2022,2,Emmanuel Macron,LREM,1,6.0,1,0.575,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (Odoxa, 2022-04-20)"
fr2022_2022-04-20_odoxa_lepen,2022-04-20,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (Odoxa, 2022-04-20)",FR,2022,2,Emmanuel Macron,RN,0,-6.0,0,0.425,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (Odoxa, 2022-04-20)"
fr2022_2022-04-20_opinionwayka_macron,2022-04-20,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (OpinionWay-Kéa, 2022-04-20)",FR,2022,2,Emmanuel Macron,LREM,1,12.0,1,0.65,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (OpinionWay-Kéa, 2022-04-20)"
fr2022_2022-04-20_opinionwayka_lepen,2022-04-20,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (OpinionWay-Kéa, 2022-04-20)",FR,2022,2,Emmanuel Macron,RN,0,-12.0,0,0.35,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (OpinionWay-Kéa, 2022-04-20)"
fr2022_2022-04-19_atlasintel_macron,2022-04-19,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (AtlasIntel, 2022-04-19)",FR,2022,2,Emmanuel Macron,LREM,1,6.0,1,0.575,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (AtlasIntel, 2022-04-19)"
fr2022_2022-04-19_atlasintel_lepen,2022-04-19,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (AtlasIntel, 2022-04-19)",FR,2022,2,Emmanuel Macron,RN,0,-6.0,0,0.425,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (AtlasIntel, 2022-04-19)"
fr2022_2022-04-19_yougov_macron,2022-04-19,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (YouGov, 2022-04-19)",FR,2022,2,Emmanuel Macron,LREM,1,12.0,1,0.65,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (YouGov, 2022-04-19)"
fr2022_2022-04-19_yougov_lepen,2022-04-19,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (YouGov, 2022-04-19)",FR,2022,2,Emmanuel Macron,RN,0,-12.0,0,0.35,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (YouGov, 2022-04-19)"
fr2022_2022-04-19_ipsossopraster_macron,2022-04-19,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (Ipsos-Sopra Steria, 2022-04-19)",FR,2022,2,Emmanuel Macron,LREM,1,15.0,1,0.688,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (Ipsos-Sopra Steria, 2022-04-19)"
fr2022_2022-04-19_ipsossopraster_lepen,2022-04-19,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (Ipsos-Sopra Steria, 2022-04-19)",FR,2022,2,Emmanuel Macron,RN,0,-15.0,0,0.312,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (Ipsos-Sopra Steria, 2022-04-19)"
fr2022_2022-04-19_cluster17_macron,2022-04-19,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (Cluster17, 2022-04-19)",FR,2022,2,Emmanuel Macron,LREM,1,10.0,1,0.625,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (Cluster17, 2022-04-19)"
fr2022_2022-04-19_cluster17_lepen,2022-04-19,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (Cluster17, 2022-04-19)",FR,2022,2,Emmanuel Macron,RN,0,-10.0,0,0.375,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (Cluster17, 2022-04-19)"
fr2022_2022-04-18_ipsossopraster_macron,2022-04-18,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (Ipsos-Sopra Steria, 2022-04-18)",FR,2022,2,Emmanuel Macron,LREM,1,13.0,1,0.662,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (Ipsos-Sopra Steria, 2022-04-18)"
fr2022_2022-04-18_ipsossopraster_lepen,2022-04-18,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (Ipsos-Sopra Steria, 2022-04-18)",FR,2022,2,Emmanuel Macron,RN,0,-13.0,0,0.338,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (Ipsos-Sopra Steria, 2022-04-18)"
fr2022_2022-04-17_opinionwayka_macron,2022-04-17,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (OpinionWay-Kéa, 2022-04-17)",FR,2022,2,Emmanuel Macron,LREM,1,12.0,1,0.65,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (OpinionWay-Kéa, 2022-04-17)"
fr2022_2022-04-17_opinionwayka_lepen,2022-04-17,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (OpinionWay-Kéa, 2022-04-17)",FR,2022,2,Emmanuel Macron,RN,0,-12.0,0,0.35,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (OpinionWay-Kéa, 2022-04-17)"
fr2022_2022-04-16_ifopfiducial_macron,2022-04-16,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (Ifop-Fiducial, 2022-04-16)",FR,2022,2,Emmanuel Macron,LREM,1,11.0,1,0.637,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (Ifop-Fiducial, 2022-04-16)"
fr2022_2022-04-16_ifopfiducial_lepen,2022-04-16,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (Ifop-Fiducial, 2022-04-16)",FR,2022,2,Emmanuel Macron,RN,0,-11.0,0,0.362,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (Ifop-Fiducial, 2022-04-16)"
fr2022_2022-04-18_elabe_macron,2022-04-18,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (Elabe, 2022-04-18)",FR,2022,2,Emmanuel Macron,LREM,1,9.0,1,0.613,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (Elabe, 2022-04-18)"
fr2022_2022-04-18_elabe_lepen,2022-04-18,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (Elabe, 2022-04-18)",FR,2022,2,Emmanuel Macron,RN,0,-9.0,0,0.388,"Marine Le Pen (RN) vs Emmanuel Macron (LREM) runoff in France (Elabe, 2022-04-18)"
fr2022_2022-04-17_ipsossopraster_macron,2022-04-17,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (Ipsos-Sopra Steria, 2022-04-17)",FR,2022,2,Emmanuel Macron,LREM,1,13.0,1,0.662,"Emmanuel Macron (LREM) vs Marine Le Pen (RN) runoff in France (Ipsos-Sopra Steria, 2022-04-17)"
