evento_id,data,contexto,uf,ano,turno,vencedor,partido,incumbente,poll_lead_pp,outcome_real,probabilidade_prior,outcome_framing
in2024_2024-04-15_abpnewscvoter_w,2024-04-15,"Narendra Modi (NDA) (NDA) vs INDIA bloc (INDIA) in 2024 Indian Lok Sabha (vote share, NDA vs INDIA) (ABP News - CVoter, 2024-04-15)",IN,2024,1,Narendra Modi (NDA),NDA,1,6.8,1,0.585,"Narendra Modi (NDA) (NDA) vs INDIA bloc (INDIA) in 2024 Indian Lok Sabha (vote share, NDA vs INDIA) (ABP News - CVoter, 2024-04-15)"
in2024_2024-04-15_abpnewscvoter_l,2024-04-15,"INDIA bloc (INDIA) vs Narendra Modi (NDA) (NDA) in 2024 Indian Lok Sabha (vote share, NDA vs INDIA) (ABP News - CVoter, 2024-04-15)",IN,2024,1,Narendra Modi (NDA),INDIA,0,-6.8,0,0.415,"INDIA bloc (INDIA) vs Narendra Modi (NDA) (NDA) in 2024 Indian Lok Sabha (vote share, NDA vs INDIA) (ABP News - CVoter, 2024-04-15)"
in2024_2024-03-15_news18_w,2024-03-15,"Narendra Modi (NDA) (NDA) vs INDIA bloc (INDIA) in 2024 Indian Lok Sabha (vote share, NDA vs INDIA) (News 18, 2024-03-15)",IN,2024,1,Narendra Modi (NDA),NDA,1,16.0,1,0.7,"Narendra Modi (NDA) (NDA) vs INDIA bloc (INDIA) in 2024 Indian Lok Sabha (vote share, NDA vs INDIA) (News 18, 2024-03-15)"
in2024_2024-03-15_news18_l,2024-03-15,"INDIA bloc (INDIA) vs Narendra Modi (NDA) (NDA) in 2024 Indian Lok Sabha (vote share, NDA vs INDIA) (News 18, 2024-03-15)",IN,2024,1,Narendra Modi (NDA),INDIA,0,-16.0,0,0.3,"INDIA bloc (INDIA) vs Narendra Modi (NDA) (NDA) in 2024 Indian Lok Sabha (vote share, NDA vs INDIA) (News 18, 2024-03-15)"
in2024_2024-03-15_abpnewscvoter_w,2024-03-15,"Narendra Modi (NDA) (NDA) vs INDIA bloc (INDIA) in 2024 Indian Lok Sabha (vote share, NDA vs INDIA) (ABP News - CVoter, 2024-03-15)",IN,2024,1,Narendra Modi (NDA),NDA,1,7.0,1,0.588,"Narendra Modi (NDA) (NDA) vs INDIA bloc (INDIA) in 2024 Indian Lok Sabha (vote share, NDA vs INDIA) (ABP News - CVoter, 2024-03-15)"
in2024_2024-03-15_abpnewscvoter_l,2024-03-15,"INDIA bloc (INDIA) vs Narendra Modi (NDA) (NDA) in 2024 Indian Lok Sabha (vote share, NDA vs INDIA) (ABP News - CVoter, 2024-03-15)",IN,2024,1,Narendra Modi (NDA),INDIA,0,-7.0,0,0.412,"INDIA bloc (INDIA) vs Narendra Modi (NDA) (NDA) in 2024 Indian Lok Sabha (vote share, NDA vs INDIA) (ABP News - CVoter, 2024-03-15)"
in2024_2024-03-15_timesnowetg_w,2024-03-15,"Narendra Modi (NDA) (NDA) vs INDIA bloc (INDIA) in 2024 Indian Lok Sabha (vote share, NDA vs INDIA) (Times Now -ETG, 2024-03-15)",IN,2024,1,Narendra Modi (NDA),NDA,1,10.0,1,0.625,"Narendra Modi (NDA) (NDA) vs INDIA bloc (INDIA) in 2024 Indian Lok Sabha (vote share, NDA vs INDIA) (Times Now -ETG, 2024-03-15)"
in2024_2024-03-15_timesnowetg_l,2024-03-15,"INDIA bloc (INDIA) vs Narendra Modi (NDA) (NDA) in 2024 Indian Lok Sabha (vote share, NDA vs INDIA) (Times Now -ETG, 2024-03-15)",IN,2024,1,Narendra Modi (NDA),INDIA,0,-10.0,0,0.375,"INDIA bloc (INDIA) vs Narendra Modi (NDA) (NDA) in 2024 Indian Lok Sabha (vote share, NDA vs INDIA) (Times Now -ETG, 2024-03-15)"
in2024_2024-02-15_zeenewsmatrize_w,2024-02-15,"Narendra Modi (NDA) (NDA) vs INDIA bloc (INDIA) in 2024 Indian Lok Sabha (vote share, NDA vs INDIA) (Zee News -Matrize, 2024-02-15)",IN,2024,1,Narendra Modi (NDA),NDA,1,15.9,1,0.699,"Narendra Modi (NDA) (NDA) vs INDIA bloc (INDIA) in 2024 Indian Lok Sabha (vote share, NDA vs INDIA) (Zee News -Matrize, 2024-02-15)"
in2024_2024-02-15_zeenewsmatrize_l,2024-02-15,"INDIA bloc (INDIA) vs Narendra Modi (NDA) (NDA) in 2024 Indian Lok Sabha (vote share, NDA vs INDIA) (Zee News -Matrize, 2024-02-15)",IN,2024,1,Narendra Modi (NDA),INDIA,0,-15.9,0,0.301,"INDIA bloc (INDIA) vs Narendra Modi (NDA) (NDA) in 2024 Indian Lok Sabha (vote share, NDA vs INDIA) (Zee News -Matrize, 2024-02-15)"
