evento_id,data,contexto,uf,ano,turno,vencedor,partido,incumbente,poll_lead_pp,outcome_real,probabilidade_prior,outcome_framing
it2022_2022-09-25_electionresult_w,2022-09-25,"Giorgia Meloni (CDX) vs Enrico Letta (CSX) in 2022 Italian general election (coalition vote) (Election results, 2022-09-25)",IT,2022,1,Giorgia Meloni,CDX,0,17.7,1,0.721,"Giorgia Meloni (CDX) vs Enrico Letta (CSX) in 2022 Italian general election (coalition vote) (Election results, 2022-09-25)"
it2022_2022-09-25_electionresult_l,2022-09-25,"Enrico Letta (CSX) vs Giorgia Meloni (CDX) in 2022 Italian general election (coalition vote) (Election results, 2022-09-25)",IT,2022,1,Giorgia Meloni,CSX,0,-17.7,0,0.279,"Enrico Letta (CSX) vs Giorgia Meloni (CDX) in 2022 Italian general election (coalition vote) (Election results, 2022-09-25)"
it2022_2022-09-09_piepoli_w,2022-09-09,"Giorgia Meloni (CDX) vs Enrico Letta (CSX) in 2022 Italian general election (coalition vote) (Piepoli, 2022-09-09)",IT,2022,1,Giorgia Meloni,CDX,0,17.0,1,0.713,"Giorgia Meloni (CDX) vs Enrico Letta (CSX) in 2022 Italian general election (coalition vote) (Piepoli, 2022-09-09)"
it2022_2022-09-09_piepoli_l,2022-09-09,"Enrico Letta (CSX) vs Giorgia Meloni (CDX) in 2022 Italian general election (coalition vote) (Piepoli, 2022-09-09)",IT,2022,1,Giorgia Meloni,CSX,0,-17.0,0,0.287,"Enrico Letta (CSX) vs Giorgia Meloni (CDX) in 2022 Italian general election (coalition vote) (Piepoli, 2022-09-09)"
it2022_2022-09-09_bidimedia_w,2022-09-09,"Giorgia Meloni (CDX) vs Enrico Letta (CSX) in 2022 Italian general election (coalition vote) (BiDiMedia, 2022-09-09)",IT,2022,1,Giorgia Meloni,CDX,0,17.1,1,0.714,"Giorgia Meloni (CDX) vs Enrico Letta (CSX) in 2022 Italian general election (coalition vote) (BiDiMedia, 2022-09-09)"
it2022_2022-09-09_bidimedia_l,2022-09-09,"Enrico Letta (CSX) vs Giorgia Meloni (CDX) in 2022 Italian general election (coalition vote) (BiDiMedia, 2022-09-09)",IT,2022,1,Giorgia Meloni,CSX,0,-17.1,0,0.286,"Enrico Letta (CSX) vs Giorgia Meloni (CDX) in 2022 Italian general election (coalition vote) (BiDiMedia, 2022-09-09)"
it2022_2022-09-09_quorumyoutrend_w,2022-09-09,"Giorgia Meloni (CDX) vs Enrico Letta (CSX) in 2022 Italian general election (coalition vote) (Quorum - YouTrend, 2022-09-09)",IT,2022,1,Giorgia Meloni,CDX,0,19.2,1,0.74,"Giorgia Meloni (CDX) vs Enrico Letta (CSX) in 2022 Italian general election (coalition vote) (Quorum - YouTrend, 2022-09-09)"
it2022_2022-09-09_quorumyoutrend_l,2022-09-09,"Enrico Letta (CSX) vs Giorgia Meloni (CDX) in 2022 Italian general election (coalition vote) (Quorum - YouTrend, 2022-09-09)",IT,2022,1,Giorgia Meloni,CSX,0,-19.2,0,0.26,"Enrico Letta (CSX) vs Giorgia Meloni (CDX) in 2022 Italian general election (coalition vote) (Quorum - YouTrend, 2022-09-09)"
it2022_2022-09-09_swg_w,2022-09-09,"Giorgia Meloni (CDX) vs Enrico Letta (CSX) in 2022 Italian general election (coalition vote) (SWG, 2022-09-09)",IT,2022,1,Giorgia Meloni,CDX,0,19.7,1,0.746,"Giorgia Meloni (CDX) vs Enrico Letta (CSX) in 2022 Italian general election (coalition vote) (SWG, 2022-09-09)"
it2022_2022-09-09_swg_l,2022-09-09,"Enrico Letta (CSX) vs Giorgia Meloni (CDX) in 2022 Italian general election (coalition vote) (SWG, 2022-09-09)",IT,2022,1,Giorgia Meloni,CSX,0,-19.7,0,0.254,"Enrico Letta (CSX) vs Giorgia Meloni (CDX) in 2022 Italian general election (coalition vote) (SWG, 2022-09-09)"
