evento_id,data,contexto,uf,ano,turno,vencedor,partido,incumbente,poll_lead_pp,outcome_real,probabilidade_prior,outcome_framing
mx2024_2024-05-29_laencuestamx_w,2024-05-29,"Claudia Sheinbaum (MORENA) vs Xochitl Galvez (FCM) in 2024 Mexican presidential election (LaEncuesta.mx, 2024-05-29)",MX,2024,1,Claudia Sheinbaum,MORENA,1,6.6,1,0.582,"Claudia Sheinbaum (MORENA) vs Xochitl Galvez (FCM) in 2024 Mexican presidential election (LaEncuesta.mx, 2024-05-29)"
mx2024_2024-05-29_laencuestamx_l,2024-05-29,"Xochitl Galvez (FCM) vs Claudia Sheinbaum (MORENA) in 2024 Mexican presidential election (LaEncuesta.mx, 2024-05-29)",MX,2024,1,Claudia Sheinbaum,FCM,0,-6.6,0,0.418,"Xochitl Galvez (FCM) vs Claudia Sheinbaum (MORENA) in 2024 Mexican presidential election (LaEncuesta.mx, 2024-05-29)"
mx2024_2024-05-28_ltica_w,2024-05-28,"Claudia Sheinbaum (MORENA) vs Xochitl Galvez (FCM) in 2024 Mexican presidential election (Áltica, 2024-05-28)",MX,2024,1,Claudia Sheinbaum,MORENA,1,11.8,1,0.647,"Claudia Sheinbaum (MORENA) vs Xochitl Galvez (FCM) in 2024 Mexican presidential election (Áltica, 2024-05-28)"
mx2024_2024-05-28_ltica_l,2024-05-28,"Xochitl Galvez (FCM) vs Claudia Sheinbaum (MORENA) in 2024 Mexican presidential election (Áltica, 2024-05-28)",MX,2024,1,Claudia Sheinbaum,FCM,0,-11.8,0,0.353,"Xochitl Galvez (FCM) vs Claudia Sheinbaum (MORENA) in 2024 Mexican presidential election (Áltica, 2024-05-28)"
mx2024_2024-05-28_atlasintel_w,2024-05-28,"Claudia Sheinbaum (MORENA) vs Xochitl Galvez (FCM) in 2024 Mexican presidential election (AtlasIntel, 2024-05-28)",MX,2024,1,Claudia Sheinbaum,MORENA,1,13.3,1,0.666,"Claudia Sheinbaum (MORENA) vs Xochitl Galvez (FCM) in 2024 Mexican presidential election (AtlasIntel, 2024-05-28)"
mx2024_2024-05-28_atlasintel_l,2024-05-28,"Xochitl Galvez (FCM) vs Claudia Sheinbaum (MORENA) in 2024 Mexican presidential election (AtlasIntel, 2024-05-28)",MX,2024,1,Claudia Sheinbaum,FCM,0,-13.3,0,0.334,"Xochitl Galvez (FCM) vs Claudia Sheinbaum (MORENA) in 2024 Mexican presidential election (AtlasIntel, 2024-05-28)"
mx2024_2024-05-26_meba_w,2024-05-26,"Claudia Sheinbaum (MORENA) vs Xochitl Galvez (FCM) in 2024 Mexican presidential election (MEBA, 2024-05-26)",MX,2024,1,Claudia Sheinbaum,MORENA,1,28.4,1,0.855,"Claudia Sheinbaum (MORENA) vs Xochitl Galvez (FCM) in 2024 Mexican presidential election (MEBA, 2024-05-26)"
mx2024_2024-05-26_meba_l,2024-05-26,"Xochitl Galvez (FCM) vs Claudia Sheinbaum (MORENA) in 2024 Mexican presidential election (MEBA, 2024-05-26)",MX,2024,1,Claudia Sheinbaum,FCM,0,-28.4,0,0.145,"Xochitl Galvez (FCM) vs Claudia Sheinbaum (MORENA) in 2024 Mexican presidential election (MEBA, 2024-05-26)"
mx2024_2024-05-26_reforma_w,2024-05-26,"Claudia Sheinbaum (MORENA) vs Xochitl Galvez (FCM) in 2024 Mexican presidential election (Reforma, 2024-05-26)",MX,2024,1,Claudia Sheinbaum,MORENA,1,20.0,1,0.75,"Claudia Sheinbaum (MORENA) vs Xochitl Galvez (FCM) in 2024 Mexican presidential election (Reforma, 2024-05-26)"
mx2024_2024-05-26_reforma_l,2024-05-26,"Xochitl Galvez (FCM) vs Claudia Sheinbaum (MORENA) in 2024 Mexican presidential election (Reforma, 2024-05-26)",MX,2024,1,Claudia Sheinbaum,FCM,0,-20.0,0,0.25,"Xochitl Galvez (FCM) vs Claudia Sheinbaum (MORENA) in 2024 Mexican presidential election (Reforma, 2024-05-26)"
