evento_id,data,contexto,uf,ano,turno,vencedor,partido,incumbente,poll_lead_pp,outcome_real,probabilidade_prior,outcome_framing
tr2023_2023-05-26_iea_w,2023-05-26,"Recep Tayyip Erdogan (AKP) vs Kemal Kilicdaroglu (CHP) in 2023 Turkish presidential runoff (İEA, 2023-05-26)",TR,2023,2,Recep Tayyip Erdogan,AKP,1,3.8,1,0.547,"Recep Tayyip Erdogan (AKP) vs Kemal Kilicdaroglu (CHP) in 2023 Turkish presidential runoff (İEA, 2023-05-26)"
tr2023_2023-05-26_iea_l,2023-05-26,"Kemal Kilicdaroglu (CHP) vs Recep Tayyip Erdogan (AKP) in 2023 Turkish presidential runoff (İEA, 2023-05-26)",TR,2023,2,Recep Tayyip Erdogan,CHP,0,-3.8,0,0.453,"Kemal Kilicdaroglu (CHP) vs Recep Tayyip Erdogan (AKP) in 2023 Turkish presidential runoff (İEA, 2023-05-26)"
tr2023_2023-05-26_betimar_w,2023-05-26,"Recep Tayyip Erdogan (AKP) vs Kemal Kilicdaroglu (CHP) in 2023 Turkish presidential runoff (BETİMAR, 2023-05-26)",TR,2023,2,Recep Tayyip Erdogan,AKP,1,4.4,1,0.555,"Recep Tayyip Erdogan (AKP) vs Kemal Kilicdaroglu (CHP) in 2023 Turkish presidential runoff (BETİMAR, 2023-05-26)"
tr2023_2023-05-26_betimar_l,2023-05-26,"Kemal Kilicdaroglu (CHP) vs Recep Tayyip Erdogan (AKP) in 2023 Turkish presidential runoff (BETİMAR, 2023-05-26)",TR,2023,2,Recep Tayyip Erdogan,CHP,0,-4.4,0,0.445,"Kemal Kilicdaroglu (CHP) vs Recep Tayyip Erdogan (AKP) in 2023 Turkish presidential runoff (BETİMAR, 2023-05-26)"
tr2023_2023-05-26_zdemir_w,2023-05-26,"Recep Tayyip Erdogan (AKP) vs Kemal Kilicdaroglu (CHP) in 2023 Turkish presidential runoff (Özdemir, 2023-05-26)",TR,2023,2,Recep Tayyip Erdogan,AKP,1,7.88,1,0.598,"Recep Tayyip Erdogan (AKP) vs Kemal Kilicdaroglu (CHP) in 2023 Turkish presidential runoff (Özdemir, 2023-05-26)"
tr2023_2023-05-26_zdemir_l,2023-05-26,"Kemal Kilicdaroglu (CHP) vs Recep Tayyip Erdogan (AKP) in 2023 Turkish presidential runoff (Özdemir, 2023-05-26)",TR,2023,2,Recep Tayyip Erdogan,CHP,0,-7.88,0,0.402,"Kemal Kilicdaroglu (CHP) vs Recep Tayyip Erdogan (AKP) in 2023 Turkish presidential runoff (Özdemir, 2023-05-26)"
tr2023_2023-05-26_alf_w,2023-05-26,"Recep Tayyip Erdogan (AKP) vs Kemal Kilicdaroglu (CHP) in 2023 Turkish presidential runoff (ALF, 2023-05-26)",TR,2023,2,Recep Tayyip Erdogan,AKP,1,-0.6,1,0.493,"Recep Tayyip Erdogan (AKP) vs Kemal Kilicdaroglu (CHP) in 2023 Turkish presidential runoff (ALF, 2023-05-26)"
tr2023_2023-05-26_alf_l,2023-05-26,"Kemal Kilicdaroglu (CHP) vs Recep Tayyip Erdogan (AKP) in 2023 Turkish presidential runoff (ALF, 2023-05-26)",TR,2023,2,Recep Tayyip Erdogan,CHP,0,0.6,0,0.507,"Kemal Kilicdaroglu (CHP) vs Recep Tayyip Erdogan (AKP) in 2023 Turkish presidential runoff (ALF, 2023-05-26)"
tr2023_2023-05-26_serar_w,2023-05-26,"Recep Tayyip Erdogan (AKP) vs Kemal Kilicdaroglu (CHP) in 2023 Turkish presidential runoff (SER-AR, 2023-05-26)",TR,2023,2,Recep Tayyip Erdogan,AKP,1,-2.6,1,0.468,"Recep Tayyip Erdogan (AKP) vs Kemal Kilicdaroglu (CHP) in 2023 Turkish presidential runoff (SER-AR, 2023-05-26)"
tr2023_2023-05-26_serar_l,2023-05-26,"Kemal Kilicdaroglu (CHP) vs Recep Tayyip Erdogan (AKP) in 2023 Turkish presidential runoff (SER-AR, 2023-05-26)",TR,2023,2,Recep Tayyip Erdogan,CHP,0,2.6,0,0.532,"Kemal Kilicdaroglu (CHP) vs Recep Tayyip Erdogan (AKP) in 2023 Turkish presidential runoff (SER-AR, 2023-05-26)"
