evento_id,data,contexto,uf,ano,turno,vencedor,partido,incumbente,poll_lead_pp,outcome_real,probabilidade_prior,outcome_framing
usgov2022_2022-10-23_NV_81234_163961_dem,2022-10-23,"Steve Sisolak (DEM) vs Joe Lombardo for Nevada governor 2022 (Phillips Academy, 2022-10-23)",NV,2022,1,Joe Lombardo,DEM,1,4.6,0,0.557,"Steve Sisolak (DEM) vs Joe Lombardo for Nevada governor 2022 (Phillips Academy, 2022-10-23)"
usgov2022_2022-10-23_NV_81234_163961_rep,2022-10-23,"Joe Lombardo (REP) vs Steve Sisolak for Nevada governor 2022 (Phillips Academy, 2022-10-23)",NV,2022,1,Joe Lombardo,REP,0,-4.6,1,0.443,"Joe Lombardo (REP) vs Steve Sisolak for Nevada governor 2022 (Phillips Academy, 2022-10-23)"
usgov2022_2022-10-23_GA_81232_163958_dem,2022-10-23,"Stacey Abrams (DEM) vs Brian Kemp for Georgia governor 2022 (Trafalgar Group, 2022-10-23)",GA,2022,1,Brian Kemp,DEM,0,-6.9,0,0.414,"Stacey Abrams (DEM) vs Brian Kemp for Georgia governor 2022 (Trafalgar Group, 2022-10-23)"
usgov2022_2022-10-23_GA_81232_163958_rep,2022-10-23,"Brian Kemp (REP) vs Stacey Abrams for Georgia governor 2022 (Trafalgar Group, 2022-10-23)",GA,2022,1,Brian Kemp,REP,1,6.9,1,0.586,"Brian Kemp (REP) vs Stacey Abrams for Georgia governor 2022 (Trafalgar Group, 2022-10-23)"
usgov2022_2022-10-23_MI_81221_163928_dem,2022-10-23,"Gretchen Whitmer (DEM) vs Tudor M. Dixon for Michigan governor 2022 (Cygnal Political, 2022-10-23)",MI,2022,1,Gretchen Whitmer,DEM,1,5.6,1,0.57,"Gretchen Whitmer (DEM) vs Tudor M. Dixon for Michigan governor 2022 (Cygnal Political, 2022-10-23)"
usgov2022_2022-10-23_MI_81221_163928_rep,2022-10-23,"Tudor M. Dixon (REP) vs Gretchen Whitmer for Michigan governor 2022 (Cygnal Political, 2022-10-23)",MI,2022,1,Gretchen Whitmer,REP,0,-5.6,0,0.43,"Tudor M. Dixon (REP) vs Gretchen Whitmer for Michigan governor 2022 (Cygnal Political, 2022-10-23)"
usgov2022_2022-10-21_AZ_81188_163831_dem,2022-10-21,"Katie Hobbs (DEM) vs Kari Lake for Arizona governor 2022 (co/efficient, 2022-10-21)",AZ,2022,1,Katie Hobbs,DEM,0,-3.3,1,0.459,"Katie Hobbs (DEM) vs Kari Lake for Arizona governor 2022 (co/efficient, 2022-10-21)"
usgov2022_2022-10-21_AZ_81188_163831_rep,2022-10-21,"Kari Lake (REP) vs Katie Hobbs for Arizona governor 2022 (co/efficient, 2022-10-21)",AZ,2022,1,Katie Hobbs,REP,1,3.3,0,0.541,"Kari Lake (REP) vs Katie Hobbs for Arizona governor 2022 (co/efficient, 2022-10-21)"
usgov2022_2022-10-21_NM_81230_163951_dem,2022-10-21,"Michelle Lujan Grisham (DEM) vs Mark V. Ronchetti for New Mexico governor 2022 (Trafalgar Group, 2022-10-21)",NM,2022,1,Michelle Lujan Grisham,DEM,1,-1.1,1,0.486,"Michelle Lujan Grisham (DEM) vs Mark V. Ronchetti for New Mexico governor 2022 (Trafalgar Group, 2022-10-21)"
usgov2022_2022-10-21_NM_81230_163951_rep,2022-10-21,"Mark V. Ronchetti (REP) vs Michelle Lujan Grisham for New Mexico governor 2022 (Trafalgar Group, 2022-10-21)",NM,2022,1,Michelle Lujan Grisham,REP,0,1.1,0,0.514,"Mark V. Ronchetti (REP) vs Michelle Lujan Grisham for New Mexico governor 2022 (Trafalgar Group, 2022-10-21)"
